"Data Source","World Development Indicators",

"Last Updated Date","2021-09-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Bangladesh","BGD","Personal remittances, paid (current US$)","BM.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","720442.6527","517298.758","266491.8005","195129.6926","392002.4037","223066.7025","133171.5137","162511.2742","196470.6928","415305.5549","","","","","","","","","","","790506.627107363","1714249.52766601","2557265.56639443","3704857.23006327","4378216.6851099","3699706.70815673","5734840.98605732","7068562.16197178","7743207.69949113","5457649.18951444","3322209.50838785","2809832.24204278","14330657.1150535","7791556.3682341","9418584.30684694","11612731.7063982","11741740.2571771","19553597.1403801","32521361.4348432","32102746.7155943","41213540.689277","46838244.5116133","56932184.6211527","82792588.3259286","94827809.1136661",
"Bulgaria","BGR","Personal remittances, paid (current US$)","BM.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33500000","15500000","3420338.63825527","3817229.84349167","25957718.7965305","26957168.6723578","14492716.0014684","12586214.1572144","29436635.3450777","35452285.32738","49577452.7719573","102605421.739247","161810951.998948","101249928.567394","90350000","104540000","107090000","161950000","169060000","114850000","126530000","163040000","195080000","204570000","189120000",
"Bahrain","BHR","Personal remittances, paid (current US$)","BM.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","263463958.7","292467742.9","347529388.4","448570159.9","322574310.3","329973266.6","367287231.4","372872345","345478729.2","384042541.5","778457458.5","716223388.7","672074462.9","668617004.4","693882995.6","332180851.06383","369148936.170213","335638297.87234","395744692.253282","430585146.464043","499734081.318025","559308558.982788","634840484.626109","725000072.307188","856171707.013059","1012681829.78723","1286918851.06383","871542553.191489","1082180851.06383","1119946808.51064","1223404255.31915","1530851063.82979","1482771276.59575","1774489021.2766","1390957446.80851","1641755319.14894","2050000000","2074468085.10638","2165957446.80851","2364361702.12766","2367287234.04255","2391489361.70213","2465957446.80851","3268882978.7234","","",
"Bahamas, The","BHS","Personal remittances, paid (current US$)","BM.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","26500000","29200000.76","38900001.53","27200000.76","41700000.76","30500000","35200000.76","26700000.76","32400001.53","33700000.76","32200000.76","39500000","47400001.53","39700000.76","38700000","49500000","28800000","27300000","28000000","31700000","33200000","36800000","39300000","47100000","56170000","53620000","57669730","62750000","71390000","83964350","100290000","94990000","65924820","63340000","88040000","119727000","139704000","138725000","150819240.9824","178800140.7306","193848517.8571","262328167.4932","210701450.4281","200464028.04","235170300",
"Bosnia and Herzegovina","BIH","Personal remittances, paid (current US$)","BM.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2350912.0467568","10807341.1919961","14009275.6810388","20021614.0188188","62067340.7838474","39993450.0464274","54510130.9879534","65397819.0403845","55292739.1974826","55055851.8690874","46440159.0725173","51680114.1431026","46846961.2648497","48445049.0365599","46847045.1574511","55544289.464585","60512502.9427537","63649593.4311002","83628912.5031727","84386250.3720065","97440258.5869493",
"Belarus","BLR","Personal remittances, paid (current US$)","BM.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3500000","17000000","11900000","35600000","25700000","19900000","4800000","9600000","33200000","48800000","28100000","47100000","52200000","70400000","103200000","171000000","133000000","115700000","133800000","141700000","150800000","181200000","162300000","123800000","137800000","159900000","185900000","200700000",
"Belize","BLZ","Personal remittances, paid (current US$)","BM.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","","","","","","","6800000.191","6400000.095","4650000.095","5349999.905","6000000","6000000","7150000","5700000","6000000","6000000","6568500","6881500","6875000","7550000","6900000","5972124.5","6435358.715","16029825.407302","16651088.7717685","19749508.9657851","18013818.1394635","19332237.978542","20608628.3376499","21454975.4159218","27977571.046179","22508922.2045363","21991807.7054283","23529361.4356243","26326846.2259462","31523217.6742768","33269797.5072743","41161360.5304401","45202220.8003739","45607619.8901334","42979100.7358568","41881051.8284085","42407418.7359842",
"Bermuda","BMU","Personal remittances, paid (current US$)","BM.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","171580000","177947228.143312","190915102.148093","212564001.156237","238623065.815222","215424493.832844","217148645.741621","218784177.190285","224147086.878863","186973109.772682","213856867.829307","218383822.031545","197545233.446783","198609831.920464","",
"Bolivia","BOL","Personal remittances, paid (current US$)","BM.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","1799999.952","2000000","2200000.048","2000000","2400000.095","2200000.048","2299999.952","2299999.952","2200000.048","3299999.952","5099999.905","4199999.809","7099999.905","7699999.809","7700000","8600000","8900000","9500000","9800000","9200000","13000000","12000000","15100000","32100000","37000000","36380000","37880000","45781410.2461145","50586782.9261628","66719820.04045","73240336.466","78912289.447","105883449.600716","103470000","101784071.7","117258563.539464","147112672.285848","172158814.237793","180137043.898414","210175743.521405","222250464.340478","232927804.367505","251815643.315127","295467829.605665","209336674.524107",
"Brazil","BRA","Personal remittances, paid (current US$)","BM.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","108000000","103000000","114000000","147000000","27000000","152000000","154000000","168000000","19000000","5000000","6000000","10000000","10000000","7000000","9000000","11000000","21000000","34000000","198000000","250000000","336000000","396000000","361000000","359000000","308000000","338325000","344833000","329421000","295980000","339493000","373953000","529306000","562634000","813083000","730896100","1023656774.64","1123817121.58","1063670886.79","1150189008.34","1538775897.25","1339086890.17","1385076006.47","2238140844.16","2253247430.04","2231583198.17","1607787352.21",
